"mp_id","Longitude","Latitude","Concentration.Class","speed_sum","speed_avg","ve_avg","vn_avg","buoy_count","measurement_count"
16093,-18.7,26.3517,"Medium",37.864714465103,18.9323572325515,-3.76016069186211,-7.01500824320494,1,2
16094,-37.3597,26.5065,"Medium",173.813434395998,14.4844528663331,-6.04959537068577,-0.0997494460899424,1,12
16095,-21.3917,26.6383,"Medium",143.117825943773,17.8897282429717,-7.96662224212942,-5.18977736392584,1,8
16096,-25.07,26.4148,"Medium",500.373338401114,14.7168628941504,-6.86916717171693,-3.42055651934808,1,34
16097,-22.46,27.1,"Medium",493.915725886946,14.9671432086953,-6.18733751821492,-3.10099030581022,1,33
16098,-42.4807,29.695,"Medium",236.006815958931,16.8576297113522,-2.82109351392512,0.0498902341724567,1,14
16099,-46.0428,29.7322,"Medium",293.814553717142,17.2832090421848,-1.18325612179807,0.34256368599446,1,17
16100,-42.0936,30.5189,"Medium",305.500836790437,17.970637458261,-1.23137451455914,0.210729873465933,1,17
16101,-39.6499,30.6054,"Medium",218.174970078828,19.8340881889844,0.177277647603586,0.564149888522962,1,11
16102,-39.3083,29.8048,"High",205.845710448228,17.153809204019,-3.93757797156582,-0.0995402930869612,1,12
16103,-46.6554,30.5454,"High",394.505274270465,18.7859654414507,0.0826536222835702,0.211933955885704,1,21
16104,-47.178,31.2709,"High",417.816693770441,20.890834688522,1.71794081339586,0.510799447091096,1,20
16105,-38.518,28.1603,"High",109.680669160179,13.7100836450223,-3.62333182182117,-0.330321244676296,1,8
16106,-45.8667,28.1833,"Medium",814.330897834949,15.9672725065676,-4.86461322944344,0.532093718821162,1,51
16107,-37.4031,28.3091,"Medium",147.472717816711,14.7472717816711,-4.23334891952963,0.585353410031456,1,10
16108,-42.5947,28.849,"Medium",186.435692106338,15.5363076755281,-2.38486969452553,0.640158806966702,1,12
16109,-44.9782,28.33,"High",127.175727979021,15.8969659973777,-4.3466731788307,-0.531255606127254,1,8
16110,-38.8362,28.9639,"Medium",158.307835939943,15.8307835939943,-3.9827755063961,-0.54836607254547,1,10
16111,-45.484,29.0401,"High",191.11948021446,17.3744982013146,-1.82199676800328,0.896661517360849,1,11
16112,-42.9629,27.1221,"Medium",91.5421906489708,15.2570317748285,-2.61578789911247,1.96641662994452,1,6
16113,-37.7217,26.3333,"Medium",139.839227362469,13.9839227362469,-5.70382181883999,0.334199207167472,1,10
16114,-43.773,26.8508,"Medium",391.943494672333,15.6777397868933,-4.95547613153064,0.847392435497247,1,25
16115,-40.8333,26.95,"Low",611.432373392916,14.5579136522123,-4.57634775173779,-0.247713858281465,1,42
16116,-38.1324,27.1974,"High",129.673540669731,14.4081711855257,-4.76619951323582,0.649376013907286,1,9
16117,-44.3386,27.5769,"High",166.539124493266,15.1399204084787,-3.03688518439471,0.112394129706712,1,11
16118,-42.8324,28.0164,"Medium",121.893149300205,15.2366436625257,-1.88050051228943,1.4780182437905,1,8
16120,-17.5167,25.0063,"Medium",65.7953115942029,32.8976557971015,-25.0265248447205,-17.0070983436853,1,2
16121,-16.44,25.4442,"Medium",109.403010313216,27.350752578304,-17.6945741295785,-13.6362954648135,1,4
